Clave,Estado,Municipio,Poblacion
12001,Guerrero,Acapulco de Juárez,717766
15033,México,Ecatepec de Morelos,1688258
9007,Distrito Federal,Iztapalapa,1820888
15058,México,Nezahualcóyotl,1140528
7059,Chiapas,Ocosingo,170280
11020,Guanajuato,León,1278087
10005,Durango,Durango,526659
15106,México,Toluca,747512
1001,Aguascalientes,Aguascalientes,723043
7089,Chiapas,Tapachula,282420
15031,México,Chimalhuacán,525389
7031,Chiapas,Chilón,95907
30141,Veracruz,San Andrés Tuxtla,148447
25006,Sinaloa,Culiacán,793730
9005,Distrito Federal,Gustavo A. Madero,1193161
14039,Jalisco,Guadalajara,1600940
27002,Tabasco,Cárdenas,219563
7052,Chiapas,Las Margaritas,98374
27004,Tabasco,Centro,558524
27008,Tabasco,Huimanguillo,163462
11017,Guanajuato,Irapuato,463103
8037,Chihuahua,Juárez,1313338
13028,Hidalgo,Huejutla de Reyes,115786
27005,Tabasco,Comalcalco,173773
12028,Guerrero,Chilapa de Álvarez,105146
31050,Yucatán,Mérida,781146
30155,Veracruz,Tantoyuca,97949
15057,México,Naucalpan de Juárez,821442
30124,Veracruz,Papantla,152863
15074,México,San Felipe del Progreso,100201
27012,Tabasco,Macuspana,142954
15042,México,Ixtlahuaca,126505
12029,Guerrero,Chilpancingo de los Bravo,214219
7096,Chiapas,Tila,63172
10007,Durango,Gómez Palacio,304515
7023,Chiapas,Chamula,67085
11007,Guanajuato,Celaya,415869
15109,México,Tultitlán,472867
24037,San Luis Potosí,Tamazunchale,93811
14098,Jalisco,Tlaquepaque,563006
21156,Puebla,Tehuacán,260923
7101,Chiapas,Tuxtla Gutiérrez,503320
15104,México,Tlalnepantla de Baz,683808
15124,México,San José del Rincón,79945
24028,San Luis Potosí,San Luis Potosí,730950
7065,Chiapas,Palenque,97991
28022,Tamaulipas,Matamoros,462157
14120,Jalisco,Zapopan,1155790
11023,Guanajuato,Pénjamo,138157
16053,Michoacán,Morelia,684145
11037,Guanajuato,Silao,147123
7019,Chiapas,Comitán de Domínguez,121263
15005,México,Almoloya de Juárez,126163
27006,Tabasco,Cunduacán,112036
23004,Quintana Roo,Othón P. Blanco,219763
7099,Chiapas,La Trinitaria,60417
32010,Zacatecas,Fresnillo,196538
16102,Michoacán,Uruapan,279229
25001,Sinaloa,Ahome,388344
14101,Jalisco,Tonalá,408729
11003,Guanajuato,San Miguel de Allende,139297
15060,México,Nicolás Romero,306516
15114,México,Villa Victoria,77819
12021,Guerrero,Coyuca de Benítez,69064
25011,Sinaloa,Guasave,270260
12012,Guerrero,Ayutla de los Libres,55974
11030,Guanajuato,San Felipe,95896
30058,Veracruz,Chicontepec,55373
27003,Tabasco,Centla,92755
16112,Michoacán,Zitácuaro,136491
30087,Veracruz,Xalapa,413136
30193,Veracruz,Veracruz,512310
11033,Guanajuato,San Luis de la Paz,101370
5030,Coahuila,Saltillo,648929
7107,Chiapas,Villa Corzo,67814
7108,Chiapas,Villaflores,93023
7057,Chiapas,Motozintla,58115
30083,Veracruz,Ixhuatlán de Madero,48609
25017,Sinaloa,Sinaloa,85017
15087,México,Temoaya,77714
5035,Coahuila,Torreón,577477
7077,Chiapas,Salto de Agua,53547
26030,Sonora,Hermosillo,701838
20067,Oaxaca,Oaxaca de Juárez,265033
7064,Chiapas,Oxchuc,41423
30010,Veracruz,Altotonga,56962
20184,Oaxaca,San Juan Bautista Tuxtepec,144555
21010,Puebla,Ajalpan,54740
21197,Puebla,Xicotepec,71454
15013,México,Atizapán de Zaragoza,472526
21071,Puebla,Huauchinango,90846
12066,Guerrero,Tlapa de Comonfort,65763
22014,Querétaro,Querétaro,734139
7061,Chiapas,Ocozocoautla de Espinosa,72426
24003,San Luis Potosí,Aquismón,45074
12055,Guerrero,Taxco de Alarcón,98854
16034,Michoacán,Hidalgo,110311
9010,Distrito Federal,Álvaro Obregón,706567
7093,Chiapas,Tenejapa,37826
15118,México,Zinacantepec,136167
7097,Chiapas,Tonalá,78516
7106,Chiapas,Venustiano Carranza,56833
7017,Chiapas,Cintalapa,73668
30047,Veracruz,Coscomatepec,47013
28032,Tamaulipas,Reynosa,526888
12011,Guerrero,Atoyac de Álvarez,58452
8029,Chihuahua,Guadalupe y Calvo,51854
12046,Guerrero,Ometepec,55283
12052,Guerrero,San Luis Acatlán,41884
30039,Veracruz,Coatzacoalcos,280363
30108,Veracruz,Minatitlán,151983
15025,México,Chalco,257403
8019,Chihuahua,Chihuahua,758791
12056,Guerrero,Tecoanapa,42619
15039,México,Ixtapaluca,429033
9017,Distrito Federal,Venustiano Carranza,447459
24054,San Luis Potosí,Xilitla,50064
30023,Veracruz,Atzalan,43570
15070,México,La Paz,232546
15121,México,Cuautitlán Izcalli,498021
14097,Jalisco,Tlajomulco de Zúñiga,220630
7034,Chiapas,Frontera Comalapa,57580
7080,Chiapas,Siltepec,35871
12032,Guerrero,General Heliodoro Castillo,34554
12003,Guerrero,Ajuchitlán del Progreso,37475
7020,Chiapas,La Concordia,40189
15082,México,Tejupilco,62547
30003,Veracruz,Acayucan,79459
21019,Puebla,Atlixco,122149
7026,Chiapas,Chenalhó,31788
12058,Guerrero,Teloloapan,51659
10014,Durango,Mezquital,30069
15047,México,Jiquipilco,59969
12057,Guerrero,Técpan de Galeana,57848
8027,Chihuahua,Guachochi,45881
7041,Chiapas,La Independencia,36951
7081,Chiapas,Simojovel,32451
7027,Chiapas,Chiapa de Corzo,73552
12053,Guerrero,San Marcos,44959
7111,Chiapas,Zinacantán,31061
7100,Chiapas,Tumbalá,28884
15085,México,Temascalcingo,58169
15001,México,Acambay,56849
15099,México,Texcoco,209308
12051,Guerrero,Quechultenango,33367
15081,México,Tecámac,270574
32038,Zacatecas,Pinos,66174
9012,Distrito Federal,Tlalpan,607545
4002,Campeche,Campeche,238850
12076,Guerrero,Acatepec,28525
30201,Veracruz,Zongolica,39156
30149,Veracruz,Soteapan,28104
30173,Veracruz,Tezonapa,47878
30061,Veracruz,Las Choapas,70092
7092,Chiapas,Tecpatán,37543
7112,Chiapas,San Juan Cancuc,24906
12041,Guerrero,Malinaltepec,26613
22016,Querétaro,San Juan del Río,208462
19039,Nuevo León,Monterrey,1133814
12054,Guerrero,San Miguel Totolapan,27033
23005,Quintana Roo,Benito Juárez,572973
30175,Veracruz,Tihuatlán,80923
7069,Chiapas,Pijijiapan,46439
30086,Veracruz,Jalacingo,37791
16050,Michoacán,Maravatío,70170
28003,Tamaulipas,Altamira,162628
7109,Chiapas,Yajalón,31457
15088,México,Tenancingo,80183
16108,Michoacán,Zamora,170748
20278,Oaxaca,San Miguel Soyaltepec,34842
18009,Nayarit,Del Nayar,30551
7094,Chiapas,Teopisca,32368
7076,Chiapas,Sabanilla,23675
24057,San Luis Potosí,Matlapa,29548
12010,Guerrero,Atlixtac,23371
13080,Hidalgo,Yahualica,22238
20134,Oaxaca,San Felipe Jalapa de Díaz,25395
7030,Chiapas,Chicomuselo,28260
12002,Guerrero,Ahuacuotzingo,23026
7004,Chiapas,Altamirano,24725
12071,Guerrero,Xochistlahuaca,25180
4009,Campeche,Escárcega,50106
4003,Campeche,Carmen,199988
30159,Veracruz,Tehuipango,20406
7038,Chiapas,Huixtán,19018
2001,Baja California,Ensenada,413481
7066,Chiapas,Pantelhó,19228
7039,Chiapas,Huitiupán,20087
17007,Morelos,Cuernavaca,349102
20406,Oaxaca,Santa María Chilchotla,20577
24041,San Luis Potosí,Tanlajás,19062
13027,Hidalgo,Huehuetla,22927
26026,Sonora,Etchojoa,55697
20469,Oaxaca,Santiago Juxtlahuaca,33401
12061,Guerrero,Tixtla de Guerrero,37300
6009,Colima,Tecomán,98150
7049,Chiapas,Larráinzar,17320
12043,Guerrero,Metlatónoc,17398
15080,México,Sultepec,24986
21195,Puebla,Vicente Guerrero,20391
13078,Hidalgo,Xochiatipan,18157
12040,Guerrero,Leonardo Bravo,22982
12020,Guerrero,Copanatoyac,17337
20171,Oaxaca,San José Tenango,18120
12062,Guerrero,Tlacoachistlahuaca,18055
5017,Coahuila,Matamoros,99707
2002,Baja California,Mexicali,855962
21114,Puebla,Puebla,1485941
7078,Chiapas,San Cristóbal de las Casa,166460
15122,México,Valle de Chalco Solidarid,332279
11014,Guanajuato,Dolores Hidalgo Cuna de la Independencia,134641
30160,Veracruz,Temapache,100790
11027,Guanajuato,Salamanca,233623
26018,Sonora,Cajeme,375800
9011,Distrito Federal,Tláhuac,344106
24013,San Luis Potosí,Ciudad Valles,156859
30044,Veracruz,Córdoba,186623
25012,Sinaloa,Mazatlán,403888
14053,Jalisco,Lagos de Moreno,140001
11042,Guanajuato,Valle de Santiago,127945
18017,Nayarit,Tepic,336403
9013,Distrito Federal,Xochimilco,404458
20043,Oaxaca,Juchitán de Zaragoza,85869
21208,Puebla,Zacatlán,69833
12035,Guerrero,Iguala de la Independencia,128444
28041,Tamaulipas,Victoria,293044
21043,Puebla,Cuetzalan del Progreso,45781
10012,Durango,Lerdo,129191
27013,Tabasco,Nacajuca,86105
30143,Veracruz,Santiago Tuxtla,54939
27010,Tabasco,Jalpa de Méndez,72969
23002,Quintana Roo,Felipe Carrillo Puerto,65373
21132,Puebla,San Martín Texmelucan,130316
12038,Guerrero,José Azueta,104609
25010,Sinaloa,El Fuerte,92585
11009,Guanajuato,Comonfort,70189
21174,Puebla,Teziutlán,88970
24024,San Luis Potosí,Rioverde,85945
21164,Puebla,Tepeaca,67157
21207,Puebla,Zacapoaxtla,50447
13046,Hidalgo,San Felipe Orizatlán,38472
31096,Yucatán,Tizimín,69553
30123,Veracruz,Pánuco,91006
27001,Tabasco,Balancán,53038
20334,Oaxaca,Villa de Tututepec de Melchor Ocam,40767
28027,Tamaulipas,Nuevo Laredo,355827
24035,San Luis Potosí,Soledad de Graciano Sánchez,226803
26042,Sonora,Navojoa,144598
12022,Guerrero,Coyuca de Catalán,41975
16082,Michoacán,Tacámbaro,59920
13073,Hidalgo,Tlanchinol,33694
4004,Campeche,Champotón,76116
30109,Veracruz,Misantla,59980
10023,Durango,Pueblo Nuevo,47104
11035,Guanajuato,Santa Cruz de Juventino Rosas,70323
11015,Guanajuato,Guanajuato,153364
27015,Tabasco,Tacotalpa,42833
9006,Distrito Federal,Iztacalco,395025
15067,México,Otzolotepec,67611
9015,Distrito Federal,Cuauhtémoc,521348
4001,Campeche,Calkiní,49850
11001,Guanajuato,Abasolo,77094
21177,Puebla,Tlacotepec de Benito Juárez,44579
15014,México,Atlacomulco,77831
30032,Veracruz,Catemaco,46702
18015,Nayarit,Santiago Ixcuintla,84314
16079,Michoacán,Salvador Escalante,38502
15120,México,Zumpango,127988
30071,Veracruz,Huatusco,49081
13030,Hidalgo,Ixmiquilpan,73903
16066,Michoacán,Pátzcuaro,79868
16097,Michoacán,Turicato,31494
11002,Guanajuato,Acámbaro,101762
11005,Guanajuato,Apaseo el Grande,73863
15111,México,Villa de Allende,41938
30189,Veracruz,Túxpam,134394
21050,Puebla,Chichiquila,23072
7072,Chiapas,Pueblo Nuevo Solistahuacá,27832
30174,Veracruz,Tierra Blanca,86075
30073,Veracruz,Hueyapan de Ocampo,38175
16071,Michoacán,Puruándiro,64590
24021,San Luis Potosí,Mexquitic de Carmona,48484
30131,Veracruz,Poza Rica de Hidalgo,181438
30102,Veracruz,Martínez de la Torre,97768
14067,Jalisco,Puerto Vallarta,220368
12048,Guerrero,Petatlán,44485
13062,Hidalgo,Tepehuacán de Guerrero,27240
15090,México,Tenango del Valle,68669
7051,Chiapas,Mapastepec,37945
13077,Hidalgo,Tulancingo de Bravo,129935
22004,Querétaro,Cadereyta de Montes,57204
26033,Sonora,Huatabampo,74533
30161,Veracruz,Tempoal,33107
11031,Guanajuato,San Francisco del Rincón,103217
14093,Jalisco,Tepatitlán de Morelos,126625
19006,Nuevo León,Apodaca,418784
24050,San Luis Potosí,Villa de Reyes,42010
11004,Guanajuato,Apaseo el Alto,57942
27014,Tabasco,Paraíso,78519
15105,México,Tlatlaya,33308
15045,México,Jilotepec,71624
21001,Puebla,Acajete,53115
11046,Guanajuato,Yuriria,63447
20041,Oaxaca,Huautla de Jiménez,31829
11028,Guanajuato,Salvatierra,92411
21110,Puebla,Palmar de Bravo,39077
7008,Chiapas,Angel Albino Corzo,28883
21004,Puebla,Acatzingo,46178
29013,Tlaxcala,Huamantla,77076
22001,Querétaro,Amealco de Bonfil,56457
28021,Tamaulipas,El Mante,112061
20198,Oaxaca,San Juan Guichicovi,27646
16052,Michoacán,Lázaro Cárdenas,162997
16025,Michoacán,Chilchota,30299
7032,Chiapas,Escuintla,27364
13025,Hidalgo,Huautla,22521
7040,Chiapas,Huixtla,47953
21154,Puebla,Tecamachalco,64380
9002,Distrito Federal,Azcapotzalco,425298
21186,Puebla,Tlatlauquitepec,47151
13002,Hidalgo,Acaxochitlán,34892
30048,Veracruz,Cosoleacaque,104970
7015,Chiapas,Cacahoatán,40975
4011,Campeche,Candelaria,37006
31102,Yucatán,Valladolid,68863
16035,Michoacán,La Huacana,31774
7013,Chiapas,Bochil,26446
11026,Guanajuato,Romita,50580
32042,Zacatecas,Sombrerete,58201
15051,México,Lerma,105578
28038,Tamaulipas,Tampico,303924
19026,Nuevo León,Guadalupe,691931
12075,Guerrero,Eduardo Neri,40328
17006,Morelos,Cuautla,160285
21074,Puebla,Huejotzingo,59822
11032,Guanajuato,San José Iturbide,59217
20515,Oaxaca,Santo Domingo Tehuantepec,57163
21085,Puebla,Izúcar de Matamoros,69413
21053,Puebla,Chignahuapan,51536
24053,San Luis Potosí,Axtla de Terrazas,32721
1005,Aguascalientes,Jesús María,82623
31019,Yucatán,Chemax,30023
30085,Veracruz,Ixtaczoquitlán,60605
7102,Chiapas,Tuxtla Chico,34101
23006,Quintana Roo,José María Morelos,32746
20324,Oaxaca,San Pedro Pochutla,38798
30183,Veracruz,Tlapacoyan,54321
5033,Coahuila,San Pedro,93677
21115,Puebla,Quecholac,42479
21199,Puebla,Xiutetelco,34575
9003,Distrito Federal,Coyoacán,628063
24029,San Luis Potosí,San Martín Chalchicuautla,21576
25018,Sinaloa,Navolato,135681
11011,Guanajuato,Cortazar,83175
11019,Guanajuato,Jerécuaro,46137
16006,Michoacán,Apatzingán,115078
30128,Veracruz,Perote,61272
15108,México,Tultepec,110145
14008,Jalisco,Arandas,80193
24032,San Luis Potosí,Santa María del Río,37290
14023,Jalisco,Zapotlán el Grande,96050
22011,Querétaro,El Marqués,79743
21015,Puebla,Amozoc,78452
15091,México,Teoloyucán,73696
10034,Durango,Tamazula,25888
25014,Sinaloa,Rosario,47394
15032,México,Donato Guerra,29621
20057,Oaxaca,Matías Romero Avendaño,38421
15048,México,Jocotitlán,55403
30038,Veracruz,Coatepec,79787
16017,Michoacán,Contepec,30696
7037,Chiapas,Huehuetán,30450
15020,México,Coacalco de Berriozábal,285943
7046,Chiapas,Jiquipilas,35831
20002,Oaxaca,Acatlán de Pérez Figueroa,42347
25007,Sinaloa,Choix,31763
13011,Hidalgo,Atlapexco,18769
15112,México,Villa del Carbón,39587
26029,Sonora,Guaymas,134153
7005,Chiapas,Amatán,19637
5018,Coahuila,Monclova,200160
15110,México,Valle de Bravo,52902
7006,Chiapas,Amatenango de la Frontera,25346
11029,Guanajuato,San Diego de la Unión,34401
13048,Hidalgo,Pachuca de Soto,275578
17018,Morelos,Temixco,98560
28033,Tamaulipas,Río Bravo,106842
20482,Oaxaca,Santiago Pinotepa Nacional,44441
30025,Veracruz,Ayahualulco,23431
4006,Campeche,Hopelchén,34687
32039,Zacatecas,Río Grande,57708
20059,Oaxaca,Miahuatlán de Porfirio Díaz,32185
27017,Tabasco,Tenosique,55601
7103,Chiapas,Tuzantán,24417
20190,Oaxaca,San Juan Cotzocón,22478
12059,Guerrero,Tepecoacuilco de Trujano,28989
15054,México,Metepec,206005
16038,Michoacán,Huetamo,41239
27011,Tabasco,Jonuta,28403
16009,Michoacán,Ario,31647
